/* DATA DESCRIPTION:
Citation:	Döring, Julian; Neumann, S I; Sloterdijk, Hans; Ekau, Werner (2018): Age at length data for larval African halfbeak Hyporhamphus picarti (Hemiramphidae) in the Sine Saloum estuary, Senegal. PANGAEA, https://doi.org/10.1594/PANGAEA.885775, 
	Supplement to: Döring, J et al. (2018): Seasonal growth differences of larval Hyporhamphus picarti (Hemiramphidae) in the Sine Saloum estuary, Senegal. Journal of Applied Ichthyology, 34(1), 97-102, https://doi.org/10.1111/jai.13528
Abstract:	The African halfbeak Hyporhamphus picarti (Hemiramphidae) is one of the most abundant species within the ichthyoplankton community of the Sine Saloum estuary (Senegal). A year-round occurrence of larvae suggests that the Sine Saloum is an important spawning habitat for this species. Annual fluctuations in water temperature, however, can have severe impacts on the survival probabilities of marine fish larvae. To determine whether temperature has an effect on the growth of H. picarti during its larval development, larval age at length and somatic growth rates were investigated for two contrasting spawning seasons in 2014: February (cold season, 20.8°C) and June (warm season, 26.4°C). 
	H. picarti larvae were sampled at two stations inside the Saloum River using two vertically connected neuston nets (30 × 15 cm, 500 µm mesh size). The nets were attached to a catamaran (Hobie Cat 15), which was towed by a motorboat at a speed of two to three knots. Fish larvae were fixed immediately after the haul with a 30% ethanol/sea water solution and stored in an electric cooling box. At the laboratory, fish larvae were successively transferred to 50% and 70% ethanol. Water temperatures (°C) and salinities (practical salinity scale) were determined at each station with a multiprobe (WTW 3430). 
	Larval standard lengths (SL ± 0.01 mm) were measured using a calibrated stereomicroscope micrometre (Stemi SV 11 and Stemi 2000-C, Zeiss). The sagittal otoliths were dissected and stored in immersion oil for several days. In order to assess the age of H. picarti larvae at a given length, otolith daily growth increments were counted (core to edge) along the otolith's largest diameter using a stereo microscope (Axioskop, Zeiss) at 200-500× magnification. Increments were counted three times by the same reader, and counter read once by an additional reader. If the results of the counts of both persons deviated by more than one increment, the respective otolith was discarded. Otolith diameter was measured using ImageJ 1.49 (Rasband, WS, US National Institutes of Health, Bethesda, MD, http://imagej.nih.gov/ij/).
Project(s):	Leibniz Centre for Tropical Marine Research (ZMT) (URI: http://www.zmt-bremen.de/en/zmt.html)
Coverage:	MEDIAN LATITUDE: 13.955632 * MEDIAN LONGITUDE: -16.710502 * SOUTH-BOUND LATITUDE: 13.939862 * WEST-BOUND LONGITUDE: -16.752759 * NORTH-BOUND LATITUDE: 13.987173 * EAST-BOUND LONGITUDE: -16.625987
	DATE/TIME START: 2014-01-01T00:00:00 * DATE/TIME END: 2014-01-01T00:00:00
	MINIMUM DEPTH, water: 8 m * MAXIMUM DEPTH, water: 12 m
Event(s):	Saloum_river_2014-02-S1 (S1) * LATITUDE: 13.939862 * LONGITUDE: -16.752759 * LOCATION: Africa, Senegal * DEVICE: Neuston net (NEU)
	Saloum_river_2014-02-S2 (S2) * LATITUDE: 13.987173 * LONGITUDE: -16.625987 * LOCATION: Africa, Senegal * DEVICE: Neuston net (NEU)
	Saloum_river_2014-06-S1 (S1) * LATITUDE: 13.939862 * LONGITUDE: -16.752759 * LOCATION: Africa, Senegal * DEVICE: Neuston net (NEU)
Parameter(s):	Event label (Event) * PI: Döring, Julian (https://orcid.org/0000-0003-3165-1079, julian.doering@leibniz-zmt.de)
	Longitude of event (Longitude) * PI: Döring, Julian (https://orcid.org/0000-0003-3165-1079, julian.doering@leibniz-zmt.de)
	Longitude of event (Longitude) * PI: Döring, Julian (https://orcid.org/0000-0003-3165-1079, julian.doering@leibniz-zmt.de)
	Station label (Station) * PI: Döring, Julian (https://orcid.org/0000-0003-3165-1079, julian.doering@leibniz-zmt.de)
	DATE/TIME (Date/Time) * GEOCODE * PI: Döring, Julian (https://orcid.org/0000-0003-3165-1079, julian.doering@leibniz-zmt.de)
	Month (Month) * PI: Döring, Julian (https://orcid.org/0000-0003-3165-1079, julian.doering@leibniz-zmt.de)
	DEPTH, water [m] (Depth water) * GEOCODE * PI: Döring, Julian (https://orcid.org/0000-0003-3165-1079, julian.doering@leibniz-zmt.de)
	Temperature, water [°C] (Temp) * PI: Döring, Julian (https://orcid.org/0000-0003-3165-1079, julian.doering@leibniz-zmt.de)
	Salinity (Sal) * PI: Döring, Julian (https://orcid.org/0000-0003-3165-1079, julian.doering@leibniz-zmt.de)
	Hyporhamphus picarti, larvae, length [mm] (H. picarti larv l) * PI: Döring, Julian (https://orcid.org/0000-0003-3165-1079, julian.doering@leibniz-zmt.de)
	Hyporhamphus picarti, otolith diameter [mm] (H. picarti otolith diam) * PI: Döring, Julian (https://orcid.org/0000-0003-3165-1079, julian.doering@leibniz-zmt.de)
	Hyporhamphus picarti, larvae, age [days] (H. picarti age) * PI: Döring, Julian (https://orcid.org/0000-0003-3165-1079, julian.doering@leibniz-zmt.de)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	928 data points
*/
Event	Longitude	Longitude	Station	Date/Time	Month	Depth water [m]	Temp [°C]	Sal	H. picarti larv l [mm]	H. picarti otolith diam [mm]	H. picarti age [days]
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	10.6800	0.1500	15
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	7.7220	0.1200	11
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	8.5140	0.1260	11
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	5.7420	0.0810	4
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	8.5140	0.1245	10
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	6.9300	0.1140	9
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	7.0290	0.1050	9
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	13.0260	0.1800	16
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	14.0400	0.1950	17
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	12.1680	0.1740	14
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	7.5240	0.1230	11
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	7.5240	0.1140	10
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	8.3160	0.1245	12
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	12.2460	0.1740	15
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	6.9300	0.1050	8
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	5.1975	0.0825	5
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	9.1200	0.1290	10
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	8.6130	0.1260	
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	7.1280	0.1110	8
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	5.6430	0.0930	6
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	4.9500	0.0765	5
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	4.6530	0.0675	6
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	4.3560	0.0705	
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	4.8510	0.0840	5
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	4.6530	0.0750	3
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	6.8310	0.1050	5
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	5.9400	0.0810	5
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	6.8805	0.1110	8
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	6.3360	0.1020	8
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	5.4450	0.0855	4
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	7.9200	0.1260	10
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	12.4800	0.1860	
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	13.1040	0.1860	14
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	12.3240	0.1920	17
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	11.3880	0.1530	15
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	13.1040	0.1920	20
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	11.3880	0.1800	15
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	15.1320	0.2190	20
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	13.2600	0.1800	20
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	12.4800	0.1770	19
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	9.4800	0.1470	15
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	11.8560	0.1560	13
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	10.2000	0.1650	13
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	12.9480	0.1740	15
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	9.3000	0.1290	13
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	11.3880	0.1560	14
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	8.6130	0.1410	
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	13.7250	0.1830	16
