Event	Longitude	Longitude	Station	Year	Month	Depth water (m)	Sal H.	Temp (C)	Length (mm)	Diam (mm)	Age (days)
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	10.6800	0.1500	15
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	10.6800	0.1500	15
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	7.7220	0.1200	11
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	7.7220	0.1200	50
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	8.5140	0.1260	11
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	5.7420	0.0810	4
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	8.5140	0.1245	10
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	6.9300	0.1140	9
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	7.0290	0.1050	9
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	13.0260	0.1800	16
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	14.0400	0.1950	17
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	12.1680	0.1740	14
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	7.5240	0.1230	11
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	7.5240	0.1140	10
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	8.3160	0.1245	12
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	12.2460	0.1740	15
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	6.9300	0.1050	8
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	5.1975	0.0825	5
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	9.1200	0.1290	10
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	8.6130	0.1260	
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	7.1280	0.1110	8
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	5.6430	0.0930	6
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	4.9500	0.0765	5
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	4.6530	0.0675	6
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	4.3560	0.0705	
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	4.8510	0.0840	5
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	4.6530	0.0750	3
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	6.8310	0.1050	5
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	5.9400	0.0810	5
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	6.8805	0.1110	8
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	6.3360	0.1020	8
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	5.4450	0.0855	4
Saloum_river_2014-02-S1	-16.7528	-16.7528	S1	2014	February	8	20.8	37.3	7.9200	0.1260	10
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	12.4800	0.1860	
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	13.1040	0.1860	14
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	12.3240	0.1920	17
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	11.3880	0.1530	15
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	13.1040	0.1920	20
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	11.3880	0.1800	15
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	15.1320	0.2190	20
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	13.2600	0.1800	20
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	12.4800	0.1770	19
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	9.4800	0.1470	15
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	11.8560	0.1560	13
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	10.2000	0.1650	13
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	12.9480	0.1740	15
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	9.3000	0.1290	13
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	11.3880	0.1560	14
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	8.6130	0.1410	
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	13.7250	0.1830	16
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	16.3800	0.2460	19
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	11.8560	0.1740	15
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	15.2880	0.2100	20
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	14.5080	0.2220	20
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	14.1960	0.2130	19
Saloum_river_2014-02-S2	-16.6260	-16.6260	S2	2014	February	12	21.7	38.1	15.4440	0.2190	21
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	3.8610	0.0705	2
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	4.0590	0.0780	5
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	4.2570	0.0795	6
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	4.4550	0.0720	4
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	4.6530	0.0810	5
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	4.6530	0.0690	4
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	4.7520	0.0810	5
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	4.8510	0.0735	5
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	4.8510	0.0825	5
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	5.1480	0.0900	6
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	5.1480	0.0780	5
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	5.4450	0.0780	4
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	5.4450	0.0945	
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	5.4450	0.0900	3
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	5.6430	0.0900	7
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	5.7420	0.0900	7
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	6.3855	0.0960	5
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	6.5340	0.0930	6
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	6.5340	0.1035	7
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	6.7320	0.0930	7
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	6.7320	0.1020	
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	6.9300	0.1140	8
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	6.9300	0.1110	7
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	6.9300	0.1095	10
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	7.4520	0.1080	7
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	7.5240	0.1095	8
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	7.5240	0.1200	10
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	7.6800	0.1185	6
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	7.8210	0.1110	9
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	8.3160	0.1110	8
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	8.5140	0.1260	9
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	8.6130	0.1170	9
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	8.9100	0.1230	9
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	9.0090	0.1185	8
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	9.1575	0.1260	10
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	9.4800	0.1260	8
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	9.6000	0.1260	7
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	9.7020	0.1260	
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	9.7800	0.1470	8
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	9.8010	0.1380	9
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	9.9600	0.1500	11
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	10.2000	0.1560	
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	10.3200	0.1485	9
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	10.3800	0.1360	8
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	10.5200	0.1440	12
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	10.9200	0.1500	10
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	11.1600	0.1560	11
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	11.1600	0.1650	10
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	11.5200	0.1650	13
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	12.3240	0.1830	11
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	12.6360	0.1890	11
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	12.7920	0.1800	13
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	12.9480	0.1680	12
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	13.1040	0.1710	13
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	13.7280	0.1950	12
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	14.3520	0.1860	13
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	14.5080	0.1920	13
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	14.6620	0.1920	14
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	14.6640	0.2100	13
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	14.8200	0.2430	
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	14.8200	0.2100	13
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	15.6000	0.2130	14
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	15.7560	0.2010	15
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	15.7560	0.2580	12
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	15.9120	0.2205	13
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	15.9120	0.2130	13
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	15.9120	0.2250	15
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	16.0680	0.2340	17
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	16.2240	0.2430	16
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	16.3800	0.2520	
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	16.5360	0.2520	16
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	16.5360	0.2130	15
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	17.3160	0.2295	14
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	17.3160	0.2295	14
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	17.4720	0.2460	17
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	17.4720	0.2550	14
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	17.7840	0.2550	19
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	17.9400	0.2940	15
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	18.2520	0.2550	17
Saloum_river_2014-06-S1	-16.7528	-16.7528	S1	2014	June	8	26.4	36.1	21.6840	0.3545	22
